net,perf,dec_precard,dec_late,dec_pfc_precard,dec_sr_precard,rec_pfc_maint,rec_sr_maint,rec_pfc_iti,recov_ratio
success_2023-05-01-09-44-09_wcst_45_final_ma,0.93,0.93,0.93,0.9199999999999999,0.8099999999999999,25.69707918688131,24.690222692461248,26.843988875858486,0.0434380212129686
success_2023-05-01-09-44-09_wcst_96_final_ma,0.93,0.89,0.9200000000000002,0.85,0.8099999999999999,17.453479962783202,16.741686272808582,17.200299439951777,0.04447490659409256
success_2023-05-01-09-44-09_wcst_77_final_ma,0.92,0.9200000000000002,0.9,0.9,0.8200000000000001,18.3253303852526,18.070124753078563,19.4212680561468,0.08058029969123992
success_2023-05-01-09-44-09_wcst_29_final_ma,0.92,0.9099999999999999,0.9199999999999999,0.8800000000000001,0.86,30.603982289400882,31.704882282930193,31.83865751232952,0.04636787022414946
success_2023-05-01-09-44-09_wcst_88_final_ma,0.91,0.9199999999999999,0.89,0.89,0.8400000000000001,21.469853202303494,17.884237924851476,23.65779085084796,0.046765275193826686
success_2023-05-01-09-44-09_wcst_69_final_ma,0.93,0.93,0.9200000000000002,0.9200000000000002,0.8699999999999999,23.86432260712936,28.872275879508816,25.063384043984115,0.06732246445253087
success_2023-05-01-09-44-09_wcst_91_final_ma,0.74,0.8799999999999999,0.8400000000000001,0.8800000000000001,0.82,17.97532140633265,14.421917798097711,20.957400214392692,0.17338816254863343
success_2023-05-01-09-44-09_wcst_38_final_ma,0.89,0.8699999999999999,0.8299999999999998,0.86,0.7700000000000001,20.43293310674955,24.000773166726574,22.489596135914326,0.06422810823954438
success_2023-05-01-09-44-09_wcst_87_final_ma,0.93,0.9199999999999999,0.93,0.9200000000000002,0.8799999999999999,42.91053471556777,23.001653843776,42.04296600725502,0.07669606131031384
success_2023-05-01-09-44-09_wcst_66_final_ma,0.93,0.93,0.93,0.9099999999999999,0.8400000000000001,25.35135203732818,34.059301675425374,25.51058577746153,0.06810523508815744
success_2023-05-01-09-44-09_wcst_68_final_ma,0.85,0.8700000000000001,0.8,0.89,0.73,20.037637635184655,21.29132102204021,21.725713070482016,0.10452538405444005
success_2023-05-01-09-44-09_wcst_55_final_ma,0.95,0.9099999999999999,0.95,0.9099999999999999,0.6699999999999999,15.241283201698934,19.01785230078909,14.00232472922653,0.08136500615810195
success_2023-05-01-09-44-09_wcst_89_final_ma,0.93,0.9200000000000002,0.93,0.9100000000000001,0.85,18.187914210167946,22.494825552417897,19.706185257062316,0.036853464218981974
success_2023-05-01-09-44-09_wcst_90_final_ma,0.93,0.9099999999999999,0.93,0.9099999999999999,0.78,16.642609842440287,20.3191273391922,17.349584703100845,0.05388948439286692
success_2023-05-01-09-44-09_wcst_39_final_ma,0.93,0.93,0.93,0.9,0.8,21.378550845641293,24.73030227238778,21.72550844028592,0.07785280905931909
success_2023-05-01-09-44-09_wcst_43_final_ma,0.93,0.9199999999999999,0.9200000000000002,0.9099999999999999,0.5700000000000001,16.42055672045797,19.4210728121642,16.244093149900436,0.07954462919666111
success_2023-05-01-09-44-09_wcst_86_final_ma,0.93,0.89,0.9100000000000001,0.8800000000000001,0.79,19.985030730214493,17.116412782721454,19.70925832632929,0.04620725306868463
success_2023-05-01-09-44-09_wcst_81_final_ma,0.93,0.93,0.9199999999999999,0.9100000000000001,0.8300000000000001,21.984392720964532,27.890872710001712,22.548996147233993,0.06337502156485261
success_2023-05-01-09-44-09_wcst_79_final_ma,0.9,0.8799999999999999,0.8399999999999999,0.8799999999999999,0.76,20.036128813555116,23.555890516093932,20.49191047810018,0.0927449496128027
success_2023-05-01-09-44-09_wcst_98_final_ma,0.82,0.8099999999999999,0.79,0.8800000000000001,0.7,17.381460454832997,13.674557543973206,19.67887846729718,0.09689718952928965
success_2023-05-01-09-44-09_wcst_100_final_m,0.92,0.93,0.93,0.9200000000000002,0.9,20.773426181837568,21.695628251319867,21.379869831725955,0.06567502002871085
