name,regime,dend_nonlin,dend_type,srsst_sparsity,n_sr_esoma,n_pfc_esoma,trial_end,batch_size,test_perf,test_perf_rule,torch_seed
success_2023-05-10-14-28-42_wcst_149_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,48
success_2023-12-22-16-37-35_wcst_12_early_stopping_correct2,slow_earlystop,divisive_2,additive,0.0,70,70,2100,10,0.837,0.8475,1
success_2023-05-01-09-44-09_wcst_116_final_maybe,fast_main,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,5
success_2023-05-01-09-44-09_wcst_98_final_maybe,fast_main,subtractive,additive,0.8,70,70,2100,10,0.95,0.95,7
success_2023-05-10-14-28-42_wcst_58_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.95,0.95,7
success_2023-05-10-14-28-42_wcst_170_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,19
success_2023-05-10-14-28-42_wcst_180_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.955,0.955,29
success_2023-05-10-14-28-42_wcst_197_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,46
success_2023-05-10-14-28-42_wcst_86_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.955,0.955,35
success_2023-05-01-09-44-09_wcst_182_final_maybe,fast_main,divisive_2,additive,0.8,70,70,2100,10,0.955,0.955,1
success_2023-05-01-09-44-09_wcst_100_final_maybe,fast_main,subtractive,additive,0.8,70,70,2100,10,0.955,0.955,9
success_2024-01-02-14-42-38_wcst_62_early_stopping_correct2,slow_earlystop,divisive_2,additive,0.0,70,70,2100,10,0.913,0.9115,1
success_2023-05-10-14-28-42_wcst_139_sparsity0,sparsity0,divisive_2,additive,0.0,70,70,2100,10,0.95,0.95,38
success_2023-12-22-16-37-35_wcst_17_early_stopping_correct2,slow_earlystop,divisive_2,additive,0.0,70,70,2100,10,0.8315,0.821,1
success_2023-05-10-14-28-42_wcst_82_sparsity0,sparsity0,subtractive,additive,0.0,70,70,2100,10,0.955,0.955,31
